"Year","Month","Symbol","Volume","MonthlyReturns"
"2015","01","AA",8975675,-0.0144836899665621
"2015","02","AA",8056515.78947368,-0.0549520228157895
"2015","03","AA",12210272.7272727,-0.126436789011554
"2015","04","AA",11706800,0.0386996877396721
"2015","05","AA",7354345,-0.068554398979475
"2015","06","AA",6865336.36363636,-0.108000031241465
"2015","07","AA",10447877.2727273,-0.114798208704135
"2015","08","AA",10601604.7619048,-0.0425532000445843
"2015","09","AA",12969047.6190476,0.022222268885153
"2015","10","AA",14912722.7272727,-0.0755693764658139
"2015","11","AA",11960665,0.0481523362427521
"2015","12","AA",11192777.2727273,0.0544871207788657
"2016","01","AA",18816710.5263158,-0.261398159914653
"2016","02","AA",13055810,0.224965700024901
"2016","03","AA",11666400,0.0727883863116108
"2016","04","AA",12644476.1904762,0.165970780226319
"2016","05","AA",8958480.95238095,-0.170098492952516
"2016","06","AA",8236700,0
"2016","07","AA",8695930,0.145631024733409
"2016","08","AA",5109452.17391304,-0.0508474145567378
"2016","09","AA",7134566.66666667,0.00595239313890472
"2016","10","AA",13373619.047619,-0.055884287322558
"2016","11","AA",7173876.19047619,0.259306718235212
"2016","12","AA",3822400,-0.030721415628
"2017","01","AA",4661485,0.298076953774034
"2017","02","AA",4657431.57894737,-0.0510288222611703
"2017","03","AA",4283160.86956522,-0.00549287730184556
"2017","04","AA",5578500,-0.0194768009861436
"2017","05","AA",3770159.09090909,-0.023421314149089
"2017","06","AA",3577431.81818182,-0.00880379820644372
"2017","07","AA",3637600,0.114854512243367
"2017","08","AA",3523908.69565217,0.205494484304303
"2017","09","AA",4316410,0.062442976232298
"2017","10","AA",3799563.63636364,0.0248820221790857
"2017","11","AA",4098933.33333333,-0.13122646751679
"2017","12","AA",4006160,0.297759602749486
"2018","01","AA",4895738.0952381,-0.0343419066419567
"2018","02","AA",3942505.26315789,-0.135524782295698
"2018","03","AA",3358176.19047619,-0.000222417966621369
"2018","04","AA",5868476.19047619,0.138790075745839
"2018","05","AA",3341168.18181818,-0.0611328324506755
"2018","06","AA",2882709.52380952,-0.0247555363899267
"2018","07","AA",4327280.95238095,-0.0770051307188825
"2018","08","AA",3469273.91304348,0.0323549271174193
"2018","09","AA",3973510.52631579,-0.0955898101208098
"2018","10","AA",4970030.43478261,-0.133910882254463
"2018","11","AA",3375414.28571429,-0.0908831683332391
"2018","12","AA",3166689.47368421,-0.164413694751421
"2019","01","AA",4750842.85714286,0.116629059080806
"2019","02","AA",3756136.84210526,-0.00606470024679862
"2019","03","AA",3032952.38095238,-0.0454237339860302
"2019","04","AA",3795695.23809524,-0.0525568022107905
"2019","05","AA",3266336.36363636,-0.205772103010551
"2019","06","AA",3271200,0.104766364200246
"2019","07","AA",3560481.81818182,-0.0392994481969485
"2019","08","AA",3454772.72727273,-0.20275675910848
"2019","09","AA",3738360,0.119353003526201
"2019","10","AA",4552752.17391304,0.0358745008296539
"2019","11","AA",3281705,-0.021164045920219
"2019","12","AA",3587752.38095238,0.0570024484357445
"2015","01","AE",8330,0.168512241899278
"2015","02","AE",10310.5263157895,0.152308687085594
"2015","03","AE",11377.2727272727,0.00493423810716176
"2015","04","AE",8966.66666666667,-0.306650809270923
"2015","05","AE",11225,-0.0793990787423942
"2015","06","AE",8100,0.0396269670810312
"2015","07","AE",4695.45454545455,0.071076280091847
"2015","08","AE",5257.14285714286,-0.0452166595502107
"2015","09","AE",3666.66666666667,-0.101074337835139
"2015","10","AE",4490.90909090909,0.0843902215725039
"2015","11","AE",4530,-0.034637898048567
"2015","12","AE",10268.1818181818,-0.105312135039578
"2016","01","AE",6731.57894736842,-0.123177165858858
"2016","02","AE",4695,-0.028214939112126
"2016","03","AE",6418.18181818182,0.221882581011016
"2016","04","AE",4590.47619047619,0.00675338821548599
"2016","05","AE",4152.38095238095,-0.0362732691794448
"2016","06","AE",2963.63636363636,-0.00747617707354209
"2016","07","AE",2445,-0.213766221876268
"2016","08","AE",3326.08695652174,0.225635874234209
"2016","09","AE",3085.71428571429,0.0598383102967424
"2016","10","AE",3942.85714285714,-0.0707019023619884
"2016","11","AE",5023.80952380952,0.0821018041826369
"2016","12","AE",4861.90476190476,0.00278200829045416
"2017","01","AE",6845,-0.0226986504727242
